1056,8556
1057,8561
1058,8586
1059,8591
1060,8598
1061,8603
1062,8616
1063,8619
1064,8632
1065,8635
1066,8652
1067,8661
1068,8670
1069,8675
1070,8688
1071,8691
1072,8700
1073,8713
1074,8724
1075,8729
1076,8738
1077,8745
1078,8752
1079,8757
1080,8770
1081,8775
1082,8808
1083,8813
1084,8818
1085,8825
1086,8832
1087,8841
1088,8850
1089,8853
1090,8868
1091,8878
1092,8887
1093,8890
1094,8915
1095,8918
1096,8923
1097,8932
1098,8941
1099,8944
1100,8957
1101,8962
1102,8981
1103,8986
1104,8995
1105,8998
1106,9019
1107,9028
1108,9037
1109,9046
1110,9053
1111,9056
1112,9073
1113,9078
1114,9087
1115,9096
1116,9101
1117,9106
1118,9125
1119,9128
1120,9137
1121,9142
1122,9167
1123,9172
1124,9189
1125,9192
1126,9199
1127,9212
1128,9217
1129,9224
1130,9241
1131,9244
1132,9253
1133,9262
1134,9269
1135,9274
1136,9295
1137,9300
1138,9311
1139,9316
1140,9321
1141,9326
1142,9351
1143,9356
1144,9361
1145,9368
1146,9385
1147,9390
1148,9399
1149,9404
1150,9417
1151,9422
1152,9435
1153,9438
1154,9463
1155,9466
1156,9471
1157,9488
1158,9498
1159,9503
1160,9512
1161,9517
1162,9534
1163,9543
1164,9552
1165,9555
1166,9568
1167,9573
1168,9582
1169,9587
1170,9598
1171,9603
1172,9628
1173,9631
1174,9638
1175,9647
1176,9652
1177,9659
1178,9684
1179,9689
1180,9698
1181,9705
1182,9718
1183,9721
1184,9730
1185,9737
1186,9750
1187,9759
1188,9764
1189,9767
1190,9792
1191,9797
1192,9814
1193,9819
1194,9828
1195,9831
1196,9840
1197,9845
1198,9858
1199,9871
1200,9876
1201,9881
1202,9912
1203,9915
1204,9920
1205,9925
1206,9938
1207,9943
1208,9956
1209,9961
1210,9970
1211,9979
1212,9992
1213,9997
1214,10010
1215,10013
1216,10018
1217,10031
1218,10046
1219,10049
1220,10066
1221,10071
1222,10084
1223,10093
1224,10102
1225,10105
1226,10130
1227,10140
1228,10145
1229,10150
1230,10157
1231,10160
1232,10177
1233,10180
1234,10201
1235,10208
1236,10213
1237,10222
1238,10235
1239,10238
1240,10243
1241,10252
1242,10269
1243,10274
1244,10291
1245,10296
1246,10303
1247,10312
1248,10321
1249,10326
1250,10351
1251,10354
1252,10365
1253,10372
1254,10379
1255,10384
1256,10401
1257,10406
1258,10415
1259,10420
1260,10429
1261,10432
1262,10469
1263,10474
1264,10479
1265,10484
1266,10495
1267,10504
1268,10513
1269,10518
1270,10525
1271,10534
1272,10543
1273,10548
1274,10565
1275,10570
1276,10583
1277,10596
1278,10609
1279,10612
1280,10625
1281,10628
1282,10647
1283,10656
1284,10661
1285,10664
1286,10677
1287,10682
1288,10687
1289,10700
1290,10717
1291,10720
1292,10737
1293,10740
1294,10753
1295,10758
1296,10763
1297,10772
1298,10798
1299,10801
1300,10810
1301,10815
1302,10834
1303,10837
1304,10854
1305,10857
1306,10866
1307,10879
1308,10884
1309,10887
1310,10900
1311,10909
1312,10918
1313,10927
1314,10940
1315,10945
1316,10958
1317,10963
1318,10976
1319,10981
1320,10986
1321,10989
1322,11022
1323,11025
1324,11030
1325,11043
1326,11050
1327,11057
1328,11074
1329,11077
1330,11088
1331,11093
1332,11110
1333,11115
1334,11134
1335,11139
1336,11148
1337,11157
1338,11166
1339,11171
1340,11180
1341,11185
1342,11198
1343,11205
1344,11214
1345,11219
1346,11248
1347,11253
1348,11258
1349,11263
