n=6, k=11
6 ABBBAAAABBAB 	NO
5 ABBBAAAABBBA 	4
6 ABBBAAABAABB 	5
8 ABBBAAABABAB 	NO
7 ABBBAAABABBA 	5
6 ABBBAAABBAAB 	NO
7 ABBBAAABBABA 	NO
5 ABBBAAABBBAA 	NO
6 ABBBAABAAABB 	5
8 ABBBAABAABAB 	NO
7 ABBBAABAABBA 	5
8 ABBBAABABAAB 	NO
9 ABBBAABABABA 	NO
7 ABBBAABABBAA 	NO
6 ABBBAABBAAAB 	NO
7 ABBBAABBAABA 	NO
7 ABBBAABBABAA 	NO
5 ABBBAABBBAAA 	NO
6 ABBBABAAAABB 	5
8 ABBBABAAABAB 	NO
7 ABBBABAAABBA 	5
8 ABBBABAABAAB 	NO
9 ABBBABAABABA 	7
7 ABBBABAABBAA 	NO
8 ABBBABABAAAB 	NO
9 ABBBABABAABA 	7
9 ABBBABABABAA 	NO
7 ABBBABABBAAA 	NO
6 ABBBABBAAAAB 	3
7 ABBBABBAAABA 	6
7 ABBBABBAABAA 	4
7 ABBBABBABAAA 	4
5 ABBBABBBAAAA 	3
4 ABBBBAAAAABB 	4
6 ABBBBAAAABAB 	NO
5 ABBBBAAAABBA 	4
6 ABBBBAAABAAB 	NO
7 ABBBBAAABABA 	5
5 ABBBBAAABBAA 	NO
6 ABBBBAABAAAB 	NO
7 ABBBBAABAABA 	5
7 ABBBBAABABAA 	NO
5 ABBBBAABBAAA 	NO
6 ABBBBABAAAAB 	3
7 ABBBBABAAABA 	5
7 ABBBBABAABAA 	4
7 ABBBBABABAAA 	4
5 ABBBBABBAAAA 	3
4 ABBBBBAAAAAB 	1
5 ABBBBBAAAABA 	4
5 ABBBBBAAABAA 	2
5 ABBBBBAABAAA 	2
5 ABBBBBABAAAA 	2
3 ABBBBBBAAAAA 	1
yes:185
NO:277
